amount,txn_count,distance,ip_risk,failed_logins,fraud
76225,24,9353,3,2,0
4424,4,9112,95,1,0
41527,28,8196,79,0,0
84571,6,5561,66,2,1
79339,26,6317,44,4,0
6569,26,9334,68,2,0
58167,1,4209,12,0,0
78577,6,1829,11,3,0
47462,1,9094,50,1,0
82280,23,9866,44,1,0
5387,2,1620,65,4,0
19316,9,1995,15,2,0
93889,17,1605,62,3,0
335,18,1909,75,0,0
65541,12,8163,35,0,0
5515,22,5952,93,2,0
41932,5,6414,60,2,0
86840,5,2899,78,1,1
20711,25,1066,89,1,0
43403,8,9511,14,2,0
73440,6,5985,23,0,0
19196,17,1249,66,4,0
36555,8,4019,39,2,0
41257,6,1203,72,1,0
87587,20,5743,29,0,0
59479,7,923,36,4,0
10889,25,1121,27,0,0
67879,22,4613,74,0,1
46297,6,6029,31,3,0
71995,20,7864,15,4,0
20203,5,2372,76,4,0
20709,27,95,36,3,0
99197,11,2117,20,2,0
14253,8,6167,47,1,0
76177,11,2444,90,4,1
73419,18,985,97,3,0
27406,12,7148,68,4,0
60379,5,5960,92,1,1
55276,22,4147,29,0,0
3897,11,1793,46,4,0
36344,26,1646,36,0,0
53273,23,6515,40,4,0
11794,9,9525,9,1,0
39324,21,7971,63,3,0
49788,26,7974,2,1,0
8766,2,6491,17,2,0
42014,12,1206,24,0,0
67626,20,3573,88,0,1
37248,11,4758,26,3,0
16341,21,967,81,3,0
19916,17,4244,86,3,0
21666,29,6705,71,0,0
1859,13,9182,87,2,0
24542,24,8915,62,4,0
28052,13,9693,30,2,0
18549,1,5491,47,1,0
28965,22,5084,94,2,0
65255,1,3336,29,2,0
78723,10,1482,83,1,0
52703,1,55,92,1,0
85482,29,833,57,2,0
30778,27,8520,54,0,0
85330,5,6723,51,0,0
85695,15,7971,96,2,1
12275,4,5620,37,4,0
87025,23,944,82,1,0
16132,23,4243,19,3,0
50560,28,4178,2,0,0
23336,20,3595,2,2,0
77018,12,1556,5,4,0
78857,9,7084,99,3,1
17871,24,2680,59,0,0
28629,19,2574,9,1,0
99708,7,7369,22,2,0
51793,4,6810,58,4,0
77008,2,8997,75,1,1
61368,10,5476,41,1,0
40052,5,7142,76,4,0
40909,22,2075,57,2,0
4363,2,6137,53,1,0
59152,17,2970,85,3,1
29473,26,3630,64,1,0
38809,11,2867,53,3,0
87510,26,4125,21,2,0
89699,4,9329,59,2,0
28869,23,6767,24,4,0
89499,1,9978,36,3,0
67398,20,7102,98,0,1
33021,2,1525,73,0,0
35211,17,5761,89,4,0
74766,8,6186,25,2,0
45286,18,1253,44,2,0
85569,6,7010,12,2,0
91848,12,4091,49,4,0
21620,10,3641,55,0,0
57234,12,1342,80,2,0
71531,21,1751,80,0,0
55861,25,5388,15,2,0
90700,13,8239,32,1,0
29811,7,8593,23,1,0
56376,22,391,14,4,0
24170,9,8008,59,4,0
6837,20,9127,99,1,0
17950,10,615,17,2,0
35535,28,7981,98,2,0
95502,8,4279,87,3,1
41098,15,6641,4,4,0
15417,25,7565,82,0,0
94323,13,9324,66,2,1
52493,2,4347,13,4,0
95605,3,7207,46,3,0
45184,17,8437,57,3,0
58706,25,4362,30,0,0
24674,7,4436,5,0,0
32833,17,2051,45,1,0
55719,18,4389,25,0,0
90193,15,2633,15,0,0
89531,4,1829,61,4,0
97759,6,807,56,2,0
29857,13,7879,52,3,0
54942,8,7828,93,4,1
64854,13,1390,74,2,0
61765,25,2266,41,0,0
55654,24,3846,5,4,0
73881,15,727,49,0,0
76998,20,1914,61,2,0
7757,3,9042,62,0,0
24678,3,4877,89,0,0
34801,5,1291,56,2,0
43742,28,1219,25,1,0
26031,10,9753,5,2,0
50206,2,9176,79,2,1
4072,16,9106,70,4,0
10003,13,8988,69,4,0
45748,18,9517,96,4,0
84182,26,1592,40,1,0
71819,27,1313,6,2,0
19723,28,1705,13,2,0
51856,25,9909,42,3,0
86306,27,2470,60,4,0
48974,13,9018,31,1,0
2819,11,3742,39,1,0
18887,2,8781,93,3,0
33162,2,5344,13,2,0
66772,9,2065,95,1,1
13087,24,1008,70,2,0
47617,7,5353,96,1,0
61346,28,572,79,4,0
5184,22,7060,96,3,0
7591,27,1041,12,0,0
73709,22,2753,22,1,0
77019,27,6354,50,4,0
21295,4,8955,99,3,0
27183,7,8221,11,0,0
7913,15,9646,98,4,0
14388,3,6541,39,4,0
76032,11,7028,32,1,0
78897,20,3094,75,2,1
53030,17,989,21,4,0
28702,20,1683,57,4,0
5726,1,934,15,1,0
2080,3,3057,25,3,0
26485,15,6636,80,2,0
21663,14,985,17,4,0
69016,8,8783,27,1,0
30807,7,960,44,4,0
5755,28,4474,3,3,0
626,25,1876,9,0,0
5209,21,117,2,2,0
29859,13,4168,21,1,0
26689,18,1390,95,2,0
21904,25,2044,41,2,0
33081,19,9769,17,3,0
52369,15,8784,54,3,0
48887,1,8906,40,1,0
63583,1,2,97,0,0
45104,1,6733,26,1,0
81161,7,90,46,1,0
82005,15,3042,44,0,0
51147,11,8509,67,2,1
2025,9,6918,73,0,0
64981,12,5384,72,1,1
3489,20,8443,7,2,0
46263,16,900,6,1,0
82041,26,895,3,0,0
95181,14,7180,87,3,1
1660,13,1267,19,3,0
70416,8,2357,55,2,0
89999,18,7058,83,4,1
3020,27,8947,35,4,0
16409,15,353,7,3,0
72641,21,159,58,4,0
74231,5,9580,20,3,0
39163,18,1713,51,0,0
72199,26,5632,66,1,1
76807,6,1395,58,4,0
48464,18,2959,97,2,0
20075,4,6896,94,1,0
66161,14,2,37,4,0
45065,13,4649,62,3,0
94688,15,14,89,3,0
69450,6,3217,89,0,1
67749,3,9445,5,0,0
22027,12,7063,47,2,0
52333,3,630,14,1,0
71360,10,3433,1,4,0
79630,12,6657,57,3,0
85212,11,6053,47,4,0
15663,5,3569,44,3,0
83410,15,1926,61,3,0
20437,14,969,37,3,0
381,29,6263,35,4,0
28504,27,6981,33,0,0
64278,14,9228,20,4,0
35157,24,5371,43,1,0
45372,18,9401,39,2,0
68885,23,7596,38,3,0
39162,13,1970,8,1,0
23296,6,4613,86,1,0
48420,23,5239,90,2,0
88109,18,7706,8,0,0
94895,27,4441,46,3,0
31990,16,3125,48,4,0
27084,26,8126,92,1,0
17187,6,575,73,0,0
73484,25,6925,73,4,1
85250,9,7115,68,1,1
29265,4,9830,19,1,0
73397,13,1001,23,2,0
17872,11,3713,88,0,0
52024,15,7233,76,1,1
9208,19,2876,93,0,0
83460,17,8928,35,3,0
80073,26,7011,72,1,1
25637,14,9219,85,1,0
6571,16,1178,25,3,0
21736,2,4400,37,3,0
46919,15,8235,48,1,0
27087,27,6571,21,2,0
70067,15,5244,15,0,0
9006,19,141,86,2,0
46981,14,6013,68,4,0
93847,14,3611,29,3,0
31110,8,7312,36,1,0
12389,17,6788,90,0,0
86465,11,1287,95,3,0
48813,7,7053,31,0,0
90125,29,6442,56,3,0
12249,7,9601,44,4,0
13773,15,6285,22,4,0
88889,28,3098,9,1,0
76253,25,9853,42,0,0
34184,4,6808,19,3,0
7327,7,3274,89,1,0
81671,10,3041,55,1,0
64274,17,483,98,0,0
17114,21,8854,48,4,0
16114,3,988,71,2,0
58093,9,1101,57,0,0
99173,3,4359,85,1,1
94118,10,6781,39,0,0
98132,11,2350,19,3,0
17725,6,9383,36,4,0
73479,3,73,8,0,0
10206,6,2473,68,4,0
72340,28,3714,60,4,0
68111,27,4256,21,1,0
73894,22,7980,58,2,0
74169,6,5250,87,3,1
19301,6,9425,35,1,0
9786,20,662,44,1,0
61063,5,3375,55,1,0
88833,25,3084,17,3,0
20203,20,1680,30,4,0
73082,28,6771,5,3,0
62811,12,2369,30,4,0
13495,6,6550,82,0,0
76659,12,9716,98,4,1
16263,1,5783,66,0,0
35685,27,2497,75,2,0
38167,23,1690,68,1,0
90473,3,8598,43,3,0
64712,20,4108,49,1,0
25269,13,1827,30,1,0
63233,14,8326,67,3,1
40561,9,7843,66,2,0
20709,3,7374,20,1,0
48995,10,5657,66,0,0
63840,22,4260,95,0,1
91345,16,4918,52,2,0
35398,9,7046,25,4,0
48344,2,2965,98,3,0
17020,15,7341,60,3,0
8067,28,8735,78,3,0
52288,28,2495,6,4,0
77966,2,5180,23,2,0
72066,19,6489,2,2,0
49941,29,5176,79,0,0
37946,19,5449,28,2,0
6506,16,8592,97,3,0
46951,7,5672,17,4,0
67018,28,9012,93,3,1
98823,28,4518,50,4,0
32471,29,1550,71,4,0
76473,5,4482,62,2,1
6648,22,4838,79,4,0
23277,23,7994,39,4,0
96420,13,6357,90,1,1
56632,21,2386,45,3,0
41524,3,4593,60,2,0
4898,21,2356,55,4,0
89981,4,8738,52,3,0
33461,8,7395,93,3,0
30720,6,6165,42,4,0
53452,17,3192,9,0,0
64741,28,3632,29,0,0
89197,18,3898,60,4,0
93061,8,6870,72,0,1
49330,17,7100,87,4,0
96822,5,7084,65,4,1
42091,13,3272,87,2,0
36324,13,8600,99,0,0
83688,20,6421,58,3,0
9966,20,5331,7,2,0
64127,19,8965,94,1,1
42633,15,6512,92,0,0
17730,8,3840,25,0,0
52261,15,9155,49,3,0
97761,4,9806,41,0,0
61658,18,2197,36,3,0
6078,8,770,13,4,0
39171,16,9504,32,3,0
95557,11,522,15,0,0
58379,18,5785,59,3,0
49245,25,2462,84,4,0
77071,19,686,21,2,0
30941,23,39,12,0,0
44050,18,2197,13,4,0
16097,8,302,7,3,0
94563,22,8854,89,3,1
94080,13,3538,2,4,0
55831,27,9679,23,3,0
57904,22,3755,37,4,0
67012,24,8707,63,2,1
82042,29,5927,25,4,0
29906,8,8554,58,0,0
55247,5,515,65,3,0
63046,10,8034,89,1,1
34296,14,9115,66,0,0
67795,13,2548,36,1,0
19133,26,3084,81,0,0
19973,21,7545,20,2,0
36851,19,7903,70,2,0
82717,4,9597,4,3,0
18413,24,1014,99,1,0
67464,6,5589,54,4,0
80173,6,5892,60,0,0
37904,20,2564,93,2,0
16187,5,4432,58,3,0
93159,24,162,30,1,0
14326,28,3391,83,4,0
62639,26,5094,31,3,0
10358,16,5470,55,0,0
76356,18,831,92,2,0
75154,11,1020,45,0,0
59892,6,1284,20,2,0
30354,14,2172,75,0,0
3571,5,5625,61,1,0
34965,3,5069,94,4,0
35625,17,8187,51,4,0
61430,10,8739,46,1,0
82006,5,8000,37,3,0
2196,21,8896,5,3,0
26301,4,7463,35,0,0
2939,25,686,60,3,0
37151,25,7711,84,0,0
45703,21,1432,30,3,0
262,23,3292,14,1,0
32691,16,2015,89,4,0
49833,12,9033,45,3,0
59163,11,2644,82,1,1
50126,25,690,33,2,0
97898,6,9615,82,2,1
66807,24,9136,71,4,1
50701,26,2540,14,0,0
20744,26,6165,82,4,0
34621,5,1939,89,4,0
29155,12,6589,41,0,0
7445,21,7876,71,0,0
62132,24,573,98,3,0
23581,11,6567,86,0,0
86644,2,1518,70,1,0
69284,10,1538,22,0,0
68773,10,98,16,2,0
13024,7,8536,40,3,0
70302,10,611,64,2,0
10900,7,2325,20,1,0
63970,4,5775,85,3,1
15039,14,7549,40,1,0
40061,17,2114,25,2,0
43051,12,7265,42,3,0
18758,6,6745,50,2,0
32758,5,2552,12,1,0
49259,24,2556,92,0,0
76039,5,7240,55,0,0
21138,15,6064,82,1,0
7071,20,3526,12,1,0
84842,16,6531,3,2,0
79573,11,4136,33,3,0
85220,23,7168,8,4,0
17171,11,8805,4,2,0
2691,9,7184,1,4,0
42970,21,3605,30,4,0
56581,4,924,95,2,0
8538,27,8005,25,2,0
26919,25,7834,5,2,0
15136,28,265,50,2,0
81935,25,5570,47,3,0
26575,9,9347,76,3,0
59265,26,4080,21,3,0
85851,26,8382,33,4,0
59142,20,6451,47,1,0
71069,11,7097,23,0,0
72616,12,1675,94,2,0
74758,1,8916,16,1,0
1189,3,9128,28,0,0
38647,28,6145,72,2,0
98845,25,5926,15,4,0
72006,25,949,46,3,0
48881,4,460,17,0,0
51039,13,7375,82,2,1
86761,27,6363,23,2,0
83397,24,6702,38,3,0
86616,8,5662,78,2,1
8887,17,8473,40,1,0
34618,22,1968,83,2,0
84966,10,5395,73,3,1
5175,13,7231,73,2,0
14047,23,1532,19,3,0
4593,24,934,53,4,0
51975,8,286,9,0,0
77275,20,1763,59,0,0
71463,27,8260,92,1,1
81868,29,7790,86,0,1
63195,23,7184,93,0,1
51731,12,5155,11,1,0
67128,21,1349,48,3,0
45000,3,7852,33,4,0
67680,9,3517,9,3,0
91270,17,4578,88,0,1
89488,23,1448,76,3,0
71953,15,527,19,1,0
88768,22,7987,38,3,0
62044,29,1847,71,3,0
31359,4,5526,76,4,0
8870,22,194,88,1,0
11290,9,9985,72,0,0
94005,17,6717,12,1,0
4478,8,3452,65,0,0
75968,13,2801,99,2,1
83475,13,5809,13,4,0
54345,17,1326,62,2,0
94711,28,4698,39,4,0
3928,17,704,62,1,0
5582,22,6377,9,4,0
70548,9,856,21,2,0
44702,7,183,41,4,0
22307,11,1518,19,2,0
83376,14,3629,1,3,0
8310,12,6133,12,4,0
68947,1,6247,92,1,1
81448,8,8366,87,4,1
66362,17,5807,84,1,1
46837,2,5444,94,0,0
25095,18,1775,28,3,0
95444,1,332,15,0,0
61450,2,5055,29,0,0
51749,19,9102,82,2,1
77017,9,7545,39,3,0
17254,20,1629,38,2,0
6131,8,6402,81,0,0
28769,12,2467,65,4,0
67634,26,5477,85,0,1
74978,25,7447,24,0,0
7561,28,1131,18,3,0
36368,23,2121,53,1,0
62593,28,1824,67,2,0
79103,12,6991,41,2,0
64147,26,1142,33,1,0
88603,28,7,68,4,0
91803,1,2607,20,2,0
40479,18,2012,35,2,0
44114,27,1830,64,4,0
79339,2,3700,56,3,0
95140,4,5745,50,4,0
7169,24,3416,59,2,0
70288,4,7834,27,2,0
72227,27,9450,51,1,0
18793,27,6269,15,4,0
53261,5,2170,37,1,0
73951,5,6790,68,1,1
71775,9,2417,29,4,0
20638,15,5620,17,4,0
36675,16,9494,68,4,0
3336,9,2353,13,1,0
8656,22,4917,87,2,0
64486,10,9570,32,4,0
56982,26,341,46,3,0
91768,12,139,68,2,0
85476,28,9496,99,4,1
58578,2,6653,17,2,0
20319,18,2152,86,0,0
44795,26,2835,37,4,0
19051,28,8849,36,2,0
75874,27,1141,98,2,0
26521,13,3631,12,4,0
44889,11,9703,92,4,0
91188,24,1961,46,1,0
48751,6,883,19,1,0
60111,12,6964,96,1,1
72905,11,8126,88,2,1
62254,25,6643,81,2,1
55320,14,3803,82,3,1
18454,15,6143,4,4,0
53510,16,1864,45,0,0
2484,17,3936,72,2,0
40610,6,5443,59,4,0
25618,14,1725,31,1,0
27203,22,3421,86,2,0
36774,22,2954,42,4,0
51251,12,6338,41,2,0
49947,25,7902,47,2,0
77942,18,2842,71,2,1
66724,4,25,37,0,0
86256,8,8069,60,0,0
11490,1,3748,35,1,0
15138,8,4898,46,3,0
8705,6,1099,99,2,0
41969,28,5410,45,4,0
84150,27,8550,16,1,0
80907,17,7914,16,3,0
46192,24,2556,34,2,0
68587,23,9166,55,2,0
23882,21,2369,17,0,0
22273,21,2829,21,2,0
61302,25,9497,86,0,1
16666,23,6688,62,1,0
81005,4,5576,54,3,0
25335,18,6556,53,3,0
99632,27,5591,8,1,0
74863,23,6047,78,1,1
37813,24,7017,76,0,0
89778,25,5087,93,1,1
51061,22,6353,87,1,1
79723,9,2438,69,3,1
55203,29,8860,11,0,0
19108,11,4233,27,1,0
5671,4,9011,13,2,0
2324,6,6092,51,4,0
32541,23,6362,29,0,0
92222,25,7095,10,4,0
12280,11,9121,24,3,0
98926,17,4889,94,0,1
78456,20,7123,83,3,1
66952,10,1125,48,3,0
25699,9,1379,47,1,0
5455,9,9084,71,0,0
78960,18,8589,31,1,0
81523,9,4425,38,2,0
34873,1,9389,34,0,0
18235,8,7431,36,1,0
23654,28,6470,44,4,0
17023,8,1462,65,3,0
61048,28,235,99,4,0
73116,17,4214,54,1,0
55960,12,7983,53,1,0
62097,13,3749,24,1,0
43065,17,7012,14,1,0
82694,25,8579,17,3,0
36121,20,7704,29,2,0
96764,4,1402,60,1,0
92489,1,3924,28,0,0
77503,26,6092,27,4,0
71454,15,2793,34,4,0
81129,7,4064,96,4,1
29436,1,6199,58,3,0
61340,12,720,43,4,0
21063,13,3719,51,0,0
4526,8,8836,67,4,0
2304,2,5346,28,4,0
33970,28,6615,44,1,0
21707,9,631,5,3,0
78357,11,6684,22,0,0
38558,26,7660,71,1,0
77340,26,7469,83,2,1
55851,8,5103,95,3,1
74318,1,1073,47,3,0
33083,22,9916,57,0,0
36181,26,9969,5,3,0
6039,9,2296,54,0,0
76821,6,1947,98,4,0
21725,21,7558,38,1,0
65201,10,1933,95,2,0
37953,6,1117,8,3,0
592,11,8812,33,0,0
94035,11,9739,95,3,1
28428,16,9468,48,2,0
15549,25,5452,11,4,0
63164,18,7187,87,1,1
30973,6,9476,29,2,0
28101,17,8437,80,1,0
50181,23,8712,13,1,0
8299,4,6977,43,0,0
45342,20,5974,93,3,0
78060,5,6218,36,4,0
8255,28,4010,43,4,0
18701,28,4968,66,2,0
27513,5,4445,67,3,0
83696,13,2788,9,2,0
55941,19,2177,32,0,0
92864,7,3825,67,3,1
99032,3,7779,91,1,1
19249,17,4370,45,3,0
5056,20,693,91,1,0
63911,1,2162,1,1,0
24829,13,3700,87,1,0
12702,11,9257,5,1,0
91428,17,1773,41,4,0
63143,5,7424,11,2,0
49912,3,1133,60,1,0
45707,5,4558,4,1,0
8375,15,3181,93,0,0
42451,19,615,46,3,0
93788,27,271,99,4,0
47076,3,9583,24,2,0
45195,29,3608,24,1,0
85095,3,290,57,0,0
6714,21,7416,23,4,0
17064,21,7998,41,0,0
32352,25,8892,54,4,0
61340,10,6535,38,4,0
77216,20,5635,51,3,0
77887,12,3110,36,0,0
26664,13,1850,50,4,0
23164,16,206,57,2,0
7314,22,3812,39,4,0
90521,21,1992,16,2,0
45146,10,3274,32,2,0
30981,9,9169,11,1,0
27228,17,5680,52,0,0
11256,5,2801,65,0,0
2710,4,1105,88,1,0
20683,15,7264,39,2,0
89385,1,9199,23,1,0
33034,29,1662,57,0,0
19973,27,681,93,0,0
21744,6,4358,84,3,0
35160,3,3409,63,0,0
25775,16,175,55,0,0
12212,3,9690,15,3,0
50819,4,6034,83,2,1
34775,3,2536,78,1,0
26500,14,4770,61,3,0
88891,27,2973,83,0,1
83012,17,5288,83,4,1
18724,5,6427,80,4,0
67491,3,8851,76,2,1
32398,10,7257,20,3,0
27898,2,3094,57,4,0
43626,14,8567,67,1,0
24435,23,4691,51,1,0
53847,16,7292,97,0,1
87151,21,140,17,0,0
10908,28,6990,69,2,0
85124,18,3952,19,4,0
26149,15,7847,68,0,0
46320,20,3766,7,2,0
90339,22,7645,20,4,0
55733,10,4457,57,1,0
54945,29,202,17,1,0
17001,26,9534,41,4,0
14356,27,5809,76,2,0
59878,10,6242,89,2,1
41267,2,5756,24,1,0
88329,22,8346,43,2,0
94976,15,6164,91,0,1
64719,19,3555,66,4,1
19333,22,1743,27,1,0
12460,1,7520,48,0,0
37063,27,2556,2,4,0
40487,1,2643,26,0,0
55661,21,4758,51,4,0
99675,22,8802,30,0,0
55376,28,4397,68,0,1
65718,1,7818,36,0,0
81232,14,7072,32,0,0
82389,27,2102,50,2,0
51031,27,1365,25,3,0
94674,15,3677,73,2,1
90109,19,860,17,2,0
91276,10,4018,84,4,1
93963,7,8561,23,3,0
54418,1,6137,69,2,1
5139,2,8253,50,2,0
53153,26,1185,75,1,0
34497,16,1527,10,1,0
26249,19,5284,59,4,0
76262,10,870,65,2,0
96107,19,8686,81,0,1
43616,6,7787,89,0,0
86047,28,2913,54,4,0
86764,18,3259,85,1,1
20125,11,5308,40,3,0
93909,28,5739,37,3,0
73333,2,63,22,2,0
7452,13,6916,86,4,0
54222,22,8004,92,0,1
25498,3,8313,1,4,0
5203,29,645,74,3,0
18552,18,2669,47,3,0
16054,3,5060,69,0,0
98599,12,2331,56,1,0
3706,25,8469,61,1,0
14487,24,6297,55,4,0
91783,14,6122,49,1,0
61853,7,7025,85,4,1
236,6,2595,39,0,0
92889,5,87,81,3,0
90163,3,6969,86,0,1
93522,5,2701,32,3,0
62034,16,6039,45,0,0
36555,21,4546,6,3,0
44149,22,4385,30,0,0
70369,11,7082,78,1,1
90326,4,9929,28,2,0
92465,7,2295,47,2,0
47321,15,3454,28,2,0
8428,15,3361,62,0,0
49270,3,6319,65,4,0
91157,2,5619,13,0,0
44037,29,239,77,0,0
29016,29,4391,88,1,0
71796,7,5389,69,1,1
61844,3,5127,58,0,0
91032,1,1777,62,0,0
39182,25,8443,3,4,0
36568,11,9360,25,3,0
42156,24,3905,93,0,0
14771,9,9580,51,0,0
95530,14,4435,19,1,0
94736,15,4995,11,4,0
44049,25,9448,18,2,0
51859,2,3720,22,3,0
93010,25,5992,36,3,0
96471,25,4781,82,1,1
6576,13,8182,79,3,0
88099,29,635,93,2,0
79798,3,8398,64,2,1
27297,4,5627,60,3,0
2990,26,6240,91,2,0
33765,17,671,98,4,0
44635,15,5168,25,3,0
21739,9,250,58,4,0
69075,13,2855,96,1,1
77399,17,5331,64,3,1
20096,27,4679,92,0,0
35810,28,1926,29,1,0
93683,23,991,3,4,0
81571,26,8996,86,1,1
84911,10,3517,13,2,0
32921,16,616,59,0,0
64651,13,955,2,3,0
41709,12,3279,80,0,0
53053,2,6540,90,1,1
7585,17,384,62,0,0
53542,6,6205,1,4,0
88131,28,923,7,1,0
52298,21,9167,79,3,1
24131,23,4934,88,3,0
49245,5,6484,76,0,0
15999,8,8961,37,4,0
20984,3,5711,5,3,0
36059,14,690,48,0,0
2203,14,8093,71,4,0
29001,18,2379,97,4,0
38537,16,9868,43,4,0
64386,27,6624,61,1,1
50726,13,7003,35,4,0
84848,17,2851,75,2,1
70230,22,6645,35,1,0
52756,4,6048,55,2,0
24093,3,8707,80,4,0
98232,29,68,61,4,0
70114,19,3522,74,4,1
39950,25,5396,48,2,0
11194,24,651,98,3,0
68898,27,4997,51,4,0
35695,18,5233,42,3,0
89865,25,9230,75,2,1
31008,18,3227,55,1,0
72667,23,9291,21,3,0
36282,9,571,89,0,0
29977,10,918,83,0,0
64675,7,7428,65,3,1
61945,22,7087,81,4,1
59921,14,3506,20,1,0
83155,1,8567,59,2,0
86895,8,1142,20,2,0
3355,26,5214,13,4,0
25480,17,2790,66,3,0
24089,26,9803,72,3,0
